,Variable,mean.RMSE,orig.RMSE,K.or.D
1,MSSubClass,0.308015,0.311079,KEEP
2,MSZoning,0.302183,0.308015,KEEP
3,LotFrontage,0.292569,0.302183,KEEP
4,LotArea,0.289713,0.292569,KEEP
5,Street,0.288888,0.289713,KEEP
6,Alley,0.288665,0.288888,KEEP
7,LotShape,0.283651,0.288665,KEEP
8,LandContour,0.28292,0.283651,KEEP
9,Utilities,0.282678,0.28292,KEEP
10,LotConfig,0.282735,0.282678,DROP
11,LandSlope,0.282829,0.282678,DROP
12,Neighborhood,0.283407,0.282678,DROP
13,Condition1,0.280566,0.282678,KEEP
14,BldgType,0.279608,0.280566,KEEP
15,HouseStyle,0.275768,0.279608,KEEP
16,OverallQual,0.185419,0.275768,KEEP
17,OverallCond,0.183255,0.185419,KEEP
18,RoofStyle,0.18315,0.183255,KEEP
19,RoofMatl,0.183303,0.18315,DROP
20,Exterior1st,0.183172,0.18315,DROP
21,Exterior2nd,0.183523,0.18315,DROP
22,MasVnrType,0.183233,0.18315,DROP
23,MasVnrArea,0.18219,0.18315,KEEP
24,ExterQual,0.174894,0.18219,KEEP
25,ExterCond,0.175194,0.174894,DROP
26,Foundation,0.172395,0.174894,KEEP
27,Heating,0.171945,0.172395,KEEP
28,HeatingQC,0.169883,0.171945,KEEP
29,CentralAir,0.165608,0.169883,KEEP
30,Electrical,0.165588,0.165608,KEEP
31,FirstFlrSF,0.154341,0.165588,KEEP
32,GrLivArea,0.149247,0.154341,KEEP
33,FullBath,0.149422,0.149247,DROP
34,HalfBath,0.147384,0.149247,KEEP
35,BedroomAbvGr,0.147431,0.147384,DROP
36,KitchenAbvGr,0.147082,0.147384,KEEP
37,KitchenQual,0.144694,0.147082,KEEP
38,TotRmsAbvGrd,0.145052,0.144694,DROP
39,Functional,0.142251,0.144694,KEEP
40,Fireplaces,0.141644,0.142251,KEEP
41,FireplaceQu,0.141829,0.141644,DROP
42,GarageType,0.141268,0.141644,KEEP
43,GarageYrBlt,0.138711,0.141268,KEEP
44,GarageFinish,0.13856,0.138711,KEEP
45,PavedDrive,0.13746,0.13856,KEEP
46,PoolArea,0.137671,0.13746,DROP
47,PoolQC,0.136941,0.13746,KEEP
48,Fence,0.136958,0.136941,DROP
49,MiscFeature,0.137223,0.136941,DROP
50,MiscVal,0.137276,0.136941,DROP
51,MoSold,0.13694,0.136941,KEEP
