,Variable,mean.RMSE,orig.RMSE,K.or.D
3024,AgeOfHouse,0.115788,0.117095,KEEP
3023,BathTotals,0.117095,0.118035,KEEP
3022,BedroomAbvGr,0.1188,0.118035,DROP
3021,BsmtBaths,0.118446,0.118035,DROP
3020,countEx,0.118125,0.118035,DROP
3015,Fireplaces,0.118202,0.11846,KEEP
3018,countGd,0.118644,0.118202,DROP
3017,countPo,0.11823,0.118202,DROP
3016,countTA,0.118799,0.118202,DROP
3014,FirstFlrSF,0.11846,0.118737,KEEP
3009,GrLiveAreaCubed,0.118737,0.119061,KEEP
3013,FullBath,0.118759,0.118737,DROP
3012,GarageYrBlt,0.118757,0.118737,DROP
3011,GrLivArea,0.119489,0.118737,DROP
3010,GrLiveAreaByFirstFlrSF,0.119505,0.118737,DROP
3008,GrLiveAreaLog,0.119061,0.124895,KEEP
3005,LotArea,0.124895,0.127549,KEEP
3007,HalfBath,0.125507,0.124895,DROP
3006,KitchenAbvGr,0.125649,0.124895,DROP
3002,meanOverallNbrhdC,0.127549,0.128105,KEEP
3004,LotFrontage,0.12778,0.127549,DROP
3003,MasVnrArea,0.127597,0.127549,DROP
3001,meanOverallNbrhdQ,0.128105,0.128879,KEEP
2998,newBsmtFinTypeSF,0.128879,0.132576,KEEP
3000,MiscVal,0.129111,0.128879,DROP
2999,MoSold,0.128915,0.128879,DROP
2997,newBsmtQualSF,0.132576,0.139988,KEEP
2996,newGarageSizeQual,0.139988,0.146181,KEEP
2995,outdoorSpace,0.146181,0.148793,KEEP
2930,x105,0.148793,0.149344,KEEP
2994,OverallCondByQual,0.149386,0.148793,DROP
2993,OverallCondSq,0.150015,0.148793,DROP
2992,OverallQualCubed,0.149632,0.148793,DROP
2991,OverallQualExp,0.149077,0.148793,DROP
2990,PoolArea,0.150817,0.148793,DROP
2989,TimeSinceSold,0.150303,0.148793,DROP
2988,TotRmsAbvGrd,0.149633,0.148793,DROP
2987,x1,0.149952,0.148793,DROP
2986,x10,0.150881,0.148793,DROP
2985,x100,0.149958,0.148793,DROP
2984,x1000,0.150167,0.148793,DROP
2983,x1001,0.149845,0.148793,DROP
2982,x1002,0.150062,0.148793,DROP
2981,x1003,0.149998,0.148793,DROP
2980,x1004,0.150231,0.148793,DROP
2979,x1005,0.150068,0.148793,DROP
2978,x1006,0.15008,0.148793,DROP
2977,x1007,0.149771,0.148793,DROP
2976,x1008,0.149844,0.148793,DROP
2975,x1009,0.149528,0.148793,DROP
2974,x101,0.150206,0.148793,DROP
2973,x1010,0.15056,0.148793,DROP
2972,x1011,0.150157,0.148793,DROP
2971,x1012,0.150595,0.148793,DROP
2970,x1013,0.150559,0.148793,DROP
2969,x1014,0.15,0.148793,DROP
2968,x1015,0.150297,0.148793,DROP
2967,x1016,0.149803,0.148793,DROP
2966,x1017,0.150421,0.148793,DROP
2965,x1018,0.150321,0.148793,DROP
2964,x1019,0.14996,0.148793,DROP
2963,x102,0.150168,0.148793,DROP
2962,x1020,0.149955,0.148793,DROP
2961,x1021,0.149663,0.148793,DROP
2960,x1022,0.149588,0.148793,DROP
2959,x1023,0.149986,0.148793,DROP
2958,x1024,0.150474,0.148793,DROP
2957,x1025,0.149828,0.148793,DROP
2956,x1026,0.149756,0.148793,DROP
2955,x1027,0.150359,0.148793,DROP
2954,x1028,0.149751,0.148793,DROP
2953,x1029,0.150517,0.148793,DROP
2952,x103,0.150014,0.148793,DROP
2951,x1030,0.150098,0.148793,DROP
2950,x1031,0.149936,0.148793,DROP
2949,x1032,0.15009,0.148793,DROP
2948,x1033,0.150016,0.148793,DROP
2947,x1034,0.149868,0.148793,DROP
2946,x1035,0.150245,0.148793,DROP
2945,x1036,0.150329,0.148793,DROP
2944,x1037,0.149971,0.148793,DROP
2943,x1038,0.150259,0.148793,DROP
2942,x1039,0.149962,0.148793,DROP
2941,x104,0.149872,0.148793,DROP
2940,x1040,0.150155,0.148793,DROP
2939,x1041,0.150695,0.148793,DROP
2938,x1042,0.150913,0.148793,DROP
2937,x1043,0.14981,0.148793,DROP
2936,x1044,0.150319,0.148793,DROP
2935,x1045,0.150264,0.148793,DROP
2934,x1046,0.150414,0.148793,DROP
2933,x1047,0.149865,0.148793,DROP
2932,x1048,0.150041,0.148793,DROP
2931,x1049,0.150057,0.148793,DROP
579,x478,0.162569,0.163086,KEEP
2929,x1050,0.150018,0.149344,DROP
2928,x1051,0.149458,0.149344,DROP
2927,x1052,0.149804,0.149344,DROP
555,x5,0.163362,0.163384,KEEP
2925,x1054,0.150247,0.149486,DROP
2924,x1055,0.150854,0.149486,DROP
2923,x1056,0.150767,0.149486,DROP
2922,x1057,0.15076,0.149486,DROP
2921,x1058,0.150112,0.149486,DROP
2920,x1059,0.150329,0.149486,DROP
2919,x106,0.15038,0.149486,DROP
2918,x1060,0.15043,0.149486,DROP
2917,x1061,0.149728,0.149486,DROP
2916,x1062,0.150608,0.149486,DROP
2915,x1063,0.150628,0.149486,DROP
2914,x1064,0.15036,0.149486,DROP
2913,x1065,0.150546,0.149486,DROP
2912,x1066,0.150192,0.149486,DROP
2911,x1067,0.149897,0.149486,DROP
2910,x1068,0.1504,0.149486,DROP
2909,x1069,0.150922,0.149486,DROP
2908,x107,0.150983,0.149486,DROP
2907,x1070,0.150064,0.149486,DROP
2906,x1071,0.150602,0.149486,DROP
2905,x1072,0.150454,0.149486,DROP
2904,x1073,0.150789,0.149486,DROP
2903,x1074,0.150257,0.149486,DROP
2902,x1075,0.149563,0.149486,DROP
2901,x1076,0.149881,0.149486,DROP
2900,x1077,0.150692,0.149486,DROP
2899,x1078,0.150274,0.149486,DROP
2898,x1079,0.150134,0.149486,DROP
2897,x108,0.150512,0.149486,DROP
2896,x1080,0.151108,0.149486,DROP
2895,x1081,0.150042,0.149486,DROP
2894,x1082,0.150133,0.149486,DROP
2893,x1083,0.150476,0.149486,DROP
2892,x1084,0.150324,0.149486,DROP
2891,x1085,0.15004,0.149486,DROP
2890,x1086,0.151016,0.149486,DROP
2889,x1087,0.150227,0.149486,DROP
2888,x1088,0.149903,0.149486,DROP
2887,x1089,0.15086,0.149486,DROP
2886,x109,0.150402,0.149486,DROP
2885,x1090,0.149946,0.149486,DROP
2884,x1091,0.150705,0.149486,DROP
2883,x1092,0.150606,0.149486,DROP
2882,x1093,0.150353,0.149486,DROP
2881,x1094,0.150835,0.149486,DROP
2880,x1095,0.150959,0.149486,DROP
2879,x1096,0.150372,0.149486,DROP
2878,x1097,0.150637,0.149486,DROP
2877,x1098,0.15025,0.149486,DROP
2876,x1099,0.150649,0.149486,DROP
2875,x11,0.150564,0.149486,DROP
2874,x110,0.151075,0.149486,DROP
2873,x1100,0.150453,0.149486,DROP
2872,x1101,0.150513,0.149486,DROP
2871,x1102,0.150511,0.149486,DROP
2870,x1103,0.150795,0.149486,DROP
2869,x1104,0.150189,0.149486,DROP
2868,x1105,0.151214,0.149486,DROP
2867,x1106,0.150391,0.149486,DROP
2866,x1107,0.150092,0.149486,DROP
2865,x1108,0.150776,0.149486,DROP
2864,x1109,0.150172,0.149486,DROP
2863,x111,0.150126,0.149486,DROP
2862,x1110,0.150123,0.149486,DROP
2861,x1111,0.149913,0.149486,DROP
2860,x1112,0.150134,0.149486,DROP
2859,x1113,0.150042,0.149486,DROP
2858,x1114,0.149742,0.149486,DROP
2857,x1115,0.150537,0.149486,DROP
2856,x1116,0.150236,0.149486,DROP
2855,x1117,0.150602,0.149486,DROP
2854,x1118,0.149985,0.149486,DROP
2853,x1119,0.150745,0.149486,DROP
2852,x112,0.150915,0.149486,DROP
2851,x1120,0.150515,0.149486,DROP
2850,x1121,0.15042,0.149486,DROP
2849,x1122,0.15062,0.149486,DROP
2848,x1123,0.150523,0.149486,DROP
2847,x1124,0.150588,0.149486,DROP
2846,x1125,0.150501,0.149486,DROP
2845,x1126,0.149816,0.149486,DROP
2844,x1127,0.149989,0.149486,DROP
2843,x1128,0.150474,0.149486,DROP
2842,x1129,0.150319,0.149486,DROP
2841,x113,0.15092,0.149486,DROP
2840,x1130,0.150357,0.149486,DROP
2839,x1131,0.150697,0.149486,DROP
2838,x1132,0.150999,0.149486,DROP
2837,x1133,0.150134,0.149486,DROP
2836,x1134,0.150555,0.149486,DROP
2835,x1135,0.15011,0.149486,DROP
2834,x1136,0.150842,0.149486,DROP
2833,x1137,0.149486,0.149486,DROP
2832,x1138,0.150599,0.149486,DROP
2831,x1139,0.150415,0.149486,DROP
2830,x114,0.149958,0.149486,DROP
2829,x1140,0.150387,0.149486,DROP
2828,x1141,0.150424,0.149486,DROP
2827,x1142,0.150475,0.149486,DROP
2826,x1143,0.149966,0.149486,DROP
2825,x1144,0.150678,0.149486,DROP
2824,x1145,0.150541,0.149486,DROP
2823,x1146,0.149568,0.149486,DROP
2822,x1147,0.150522,0.149486,DROP
2821,x1148,0.1516,0.149486,DROP
2820,x1149,0.150738,0.149486,DROP
2819,x115,0.150083,0.149486,DROP
2818,x1150,0.149603,0.149486,DROP
2817,x1151,0.150745,0.149486,DROP
2816,x1152,0.150675,0.149486,DROP
2815,x1153,0.150264,0.149486,DROP
2814,x1154,0.150909,0.149486,DROP
2813,x1155,0.151248,0.149486,DROP
2812,x1156,0.150181,0.149486,DROP
2811,x1157,0.151724,0.149486,DROP
512,x538,0.166595,0.166678,KEEP
2809,x1159,0.150679,0.149524,DROP
2808,x116,0.149925,0.149524,DROP
2807,x1160,0.150139,0.149524,DROP
2806,x1161,0.150193,0.149524,DROP
2805,x1162,0.150555,0.149524,DROP
2804,x1163,0.150596,0.149524,DROP
2803,x1164,0.150737,0.149524,DROP
2802,x1165,0.149932,0.149524,DROP
2801,x1166,0.150051,0.149524,DROP
2800,x1167,0.150588,0.149524,DROP
2799,x1168,0.149941,0.149524,DROP
2798,x1169,0.150269,0.149524,DROP
2797,x117,0.149865,0.149524,DROP
2796,x1170,0.15082,0.149524,DROP
2795,x1171,0.150581,0.149524,DROP
2794,x1172,0.150138,0.149524,DROP
2793,x1173,0.150575,0.149524,DROP
2792,x1174,0.150423,0.149524,DROP
2791,x1175,0.150189,0.149524,DROP
2790,x1176,0.150909,0.149524,DROP
2789,x1177,0.150071,0.149524,DROP
2788,x1178,0.14986,0.149524,DROP
2787,x1179,0.150229,0.149524,DROP
2786,x118,0.150035,0.149524,DROP
2785,x1180,0.149607,0.149524,DROP
2784,x1181,0.150698,0.149524,DROP
2783,x1182,0.150921,0.149524,DROP
2782,x1183,0.150313,0.149524,DROP
2781,x1184,0.150188,0.149524,DROP
2780,x1185,0.150179,0.149524,DROP
2779,x1186,0.150369,0.149524,DROP
362,x674,0.174583,0.179622,KEEP
2777,x1188,0.150691,0.149796,DROP
2776,x1189,0.151045,0.149796,DROP
2775,x119,0.150855,0.149796,DROP
2774,x1190,0.151595,0.149796,DROP
2773,x1191,0.150775,0.149796,DROP
2772,x1192,0.151123,0.149796,DROP
2771,x1193,0.150256,0.149796,DROP
2770,x1194,0.149915,0.149796,DROP
2769,x1195,0.151016,0.149796,DROP
2768,x1196,0.150039,0.149796,DROP
2767,x1197,0.150809,0.149796,DROP
2766,x1198,0.151195,0.149796,DROP
2765,x1199,0.151227,0.149796,DROP
2764,x12,0.151166,0.149796,DROP
2763,x120,0.150495,0.149796,DROP
2762,x1200,0.150677,0.149796,DROP
2761,x1201,0.151168,0.149796,DROP
2760,x1202,0.150652,0.149796,DROP
2759,x1203,0.150156,0.149796,DROP
2758,x1204,0.150745,0.149796,DROP
2757,x1205,0.151121,0.149796,DROP
2756,x1206,0.15088,0.149796,DROP
2755,x1207,0.150427,0.149796,DROP
2754,x1208,0.150168,0.149796,DROP
2753,x1209,0.150442,0.149796,DROP
2752,x121,0.150578,0.149796,DROP
2751,x1210,0.150283,0.149796,DROP
2750,x1211,0.150556,0.149796,DROP
2749,x1212,0.150432,0.149796,DROP
2748,x1213,0.151057,0.149796,DROP
2747,x1214,0.15103,0.149796,DROP
2746,x1215,0.149932,0.149796,DROP
2745,x1216,0.150335,0.149796,DROP
2744,x1217,0.150502,0.149796,DROP
2743,x1218,0.15023,0.149796,DROP
2742,x1219,0.150555,0.149796,DROP
2741,x122,0.150723,0.149796,DROP
2740,x1220,0.150856,0.149796,DROP
2739,x1221,0.150805,0.149796,DROP
2738,x1222,0.15136,0.149796,DROP
2737,x1223,0.150266,0.149796,DROP
2736,x1224,0.150922,0.149796,DROP
2735,x1225,0.150268,0.149796,DROP
2734,x1226,0.151045,0.149796,DROP
2733,x1227,0.150908,0.149796,DROP
2732,x1228,0.150556,0.149796,DROP
2731,x1229,0.151059,0.149796,DROP
2730,x123,0.151137,0.149796,DROP
2729,x1230,0.151454,0.149796,DROP
2728,x1231,0.150456,0.149796,DROP
2727,x1232,0.150836,0.149796,DROP
