"","Variable","mean.RMSE","orig.RMSE","K.or.D"
"1","AgeOfHouse","0.219055","0.311079","KEEP"
"2","Alley","0.219019","0.219055","KEEP"
"3","BathTotals","0.21854","0.219019","KEEP"
"4","BedroomAbvGr","0.218431","0.21854","KEEP"
"5","BldgType","0.213593","0.218431","KEEP"
"6","BsmtBaths","0.20749","0.213593","KEEP"
"7","BuiltAndSold","0.206092","0.20749","KEEP"
"8","CentralAir","0.203933","0.206092","KEEP"
"9","Condition1","0.203763","0.203933","KEEP"
"10","countEx","0.192794","0.203763","KEEP"
"11","countFa","0.192241","0.192794","KEEP"
"12","countGd","0.180146","0.192241","KEEP"
"13","countPo","0.178621","0.180146","KEEP"
"14","countTA","0.172417","0.178621","KEEP"
"15","CrimeLevel","0.171424","0.172417","KEEP"
"16","DecadeBuilt","0.171014","0.171424","KEEP"
"17","Electrical","0.170786","0.171014","KEEP"
"18","ExterCond","0.169593","0.170786","KEEP"
"19","Exterior1st","0.169707","0.169593","DROP"
"20","Exterior2nd","0.169745","0.169593","DROP"
"21","ExterQual","0.168154","0.169593","KEEP"
"22","Fence","0.168469","0.168154","DROP"
"23","FireplaceQu","0.167976","0.168154","KEEP"
"24","Fireplaces","0.16697","0.167976","KEEP"
"25","FirstFloorOnly","0.165167","0.16697","KEEP"
"26","FirstFlrSF","0.148169","0.165167","KEEP"
"27","Foundation","0.14809","0.148169","KEEP"
"28","FullBath","0.147935","0.14809","KEEP"
"29","Functional","0.14425","0.147935","KEEP"
"30","GarageFinish","0.143127","0.14425","KEEP"
"31","GarageType","0.143184","0.143127","DROP"
"32","GarageYrBlt","0.143063","0.143127","KEEP"
"33","GrLivArea","0.139847","0.143063","KEEP"
"34","GrLivAreaCut","0.138819","0.139847","KEEP"
"35","GrLiveAreaByFirstFlrSF","0.138769","0.138819","KEEP"
"36","GrLiveAreaLog","0.13814","0.138769","KEEP"
"37","HalfBath","0.138075","0.13814","KEEP"
"38","HasBeenRemodeled","0.137931","0.138075","KEEP"
"39","Heating","0.138053","0.137931","DROP"
"40","HeatingQC","0.136409","0.137931","KEEP"
"41","HouseStyle","0.136695","0.136409","DROP"
"42","KitchenAbvGr","0.135752","0.136409","KEEP"
"43","KitchenQual","0.135495","0.135752","KEEP"
"44","LandContour","0.135667","0.135495","DROP"
"45","LandSlope","0.135789","0.135495","DROP"
"46","LotArea","0.134134","0.135495","KEEP"
"47","LotConfig","0.133689","0.134134","KEEP"
"48","LotFrontage","0.133376","0.133689","KEEP"
"49","LotShape","0.134423","0.133376","DROP"
"50","MasVnrArea","0.133133","0.133376","KEEP"
"51","MasVnrType","0.132313","0.133133","KEEP"
"52","meanOverallNbrhdC","0.132105","0.132313","KEEP"
"53","meanOverallNbrhdQ","0.127116","0.132105","KEEP"
"54","MiscFeature","0.127494","0.127116","DROP"
"55","MiscVal","0.126919","0.127116","KEEP"
"56","MoSold","0.127015","0.126919","DROP"
"57","MSSubClass","0.127272","0.126919","DROP"
"58","MSZoning","0.127198","0.126919","DROP"
"59","NearAirport","0.127321","0.126919","DROP"
"60","NearCampus","0.126523","0.126919","KEEP"
"61","NearWater","0.126675","0.126523","DROP"
"62","Neighborhood","0.126722","0.126523","DROP"
"63","newBsmtFinTypeSF","0.124161","0.126523","KEEP"
"64","newBsmtQualSF","0.120981","0.124161","KEEP"
"65","newGarageSizeQual","0.119398","0.120981","KEEP"
"66","NewHouseSubClass","0.119141","0.119398","KEEP"
"67","outdoorSpace","0.118988","0.119141","KEEP"
"68","OverallCond","0.118606","0.118988","KEEP"
